"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Este test verifica que se muestre el mensaje de error correspondiente cuando el campo contraseña está vacío","3414","Login falla con password vacio","SauceDemo Suite","Sun May 10 03:23:14 UTC 2026","passed","Sun May 10 03:23:17 UTC 2026","com.nopcommerce.tests.LoginTest","Login Tests","com.nopcommerce.tests.LoginTest","testLoginWithEmptyPassword"
"Este test verifica que los productos se ordenen correctamente por precio de menor a mayor","124","Verificar filtro por precio de menor a mayor","SauceDemo Suite","Sun May 10 03:24:00 UTC 2026","passed","Sun May 10 03:24:00 UTC 2026","com.nopcommerce.tests.InventoryTest","Inventory Tests","com.nopcommerce.tests.InventoryTest","testFilterByPriceLowHigh"
"Este test verifica que los nombres de los productos agregados se muestren correctamente en el carrito","74","Verificar que los nombres de los items en el carrito son correctos","SauceDemo Suite","Sun May 10 03:24:28 UTC 2026","passed","Sun May 10 03:24:28 UTC 2026","com.nopcommerce.tests.CartTest","Cart Tests","com.nopcommerce.tests.CartTest","testCartItemNames"
"Este test verifica que todos los productos puedan eliminarse correctamente y que el carrito quede vacío","246","Verificar que se puede eliminar todos los productos y el carrito quede vacío","SauceDemo Suite","Sun May 10 03:24:35 UTC 2026","passed","Sun May 10 03:24:35 UTC 2026","com.nopcommerce.tests.CartTest","Cart Tests","com.nopcommerce.tests.CartTest","testEmptyCart"
"Este test verifica que un usuario bloqueado no pueda iniciar sesión y que se muestre el mensaje de error correspondiente","13787","Login falla con usuario bloqueado","SauceDemo Suite","Sun May 10 03:22:55 UTC 2026","passed","Sun May 10 03:23:09 UTC 2026","com.nopcommerce.tests.LoginTest","Login Tests","com.nopcommerce.tests.LoginTest","testLockedUser"
"Este test verifica que diferentes usuarios válidos puedan iniciar sesión exitosamente en la aplicación","8452","Login exitoso con diferentes usuarios válidos","SauceDemo Suite","Sun May 10 03:23:26 UTC 2026","passed","Sun May 10 03:23:34 UTC 2026","com.nopcommerce.tests.LoginTest","Login Tests","com.nopcommerce.tests.LoginTest","testSuccessfulLogin"
"Este test verifica que los productos seleccionados puedan agregarse correctamente al carrito de compras","1580","Verificar que se puedan agregar productos al carrito","SauceDemo Suite","Sun May 10 03:23:42 UTC 2026","passed","Sun May 10 03:23:44 UTC 2026","com.nopcommerce.tests.InventoryTest","Inventory Tests","com.nopcommerce.tests.InventoryTest","testAddProductsToCart"
"Este test verifica que se muestre el mensaje de error correspondiente cuando los campos usuario y contraseña están vacíos","3432","Login falla con ambos campos vacios","SauceDemo Suite","Sun May 10 03:23:10 UTC 2026","passed","Sun May 10 03:23:13 UTC 2026","com.nopcommerce.tests.LoginTest","Login Tests","com.nopcommerce.tests.LoginTest","testLoginWithEmptyCredentials"
"Este test verifica que se muestre el mensaje de error correspondiente cuando el campo nombre está vacío en el formulario de checkout","329","Verificar que se muestre un error al dejar campo de apellido vacío en el formulario de checkout","SauceDemo Suite","Sun May 10 03:24:55 UTC 2026","passed","Sun May 10 03:24:56 UTC 2026","com.nopcommerce.tests.CheckoutTest","Checkout Tests","com.nopcommerce.tests.CheckoutTest","testCheckoutFormEmptyLastName"
"Este test verifica que se muestre el mensaje de error correspondiente al ingresar un usuario o contraseña inválidos","3455","Login falla con credenciales incorrectas","SauceDemo Suite","Sun May 10 03:23:18 UTC 2026","passed","Sun May 10 03:23:21 UTC 2026","com.nopcommerce.tests.LoginTest","Login Tests","com.nopcommerce.tests.LoginTest","testLoginWithInvalidCredentials"
"Este test verifica que los productos se ordenen correctamente de A a Z al aplicar el filtro correspondiente","101","Verificar filtro por nombre A-Z","SauceDemo Suite","Sun May 10 03:23:48 UTC 2026","passed","Sun May 10 03:23:48 UTC 2026","com.nopcommerce.tests.InventoryTest","Inventory Tests","com.nopcommerce.tests.InventoryTest","testFilterByNameAZ"
"Este test verifica que el numero de productos mostrados en el carrito coincida con la cantidad esperada","20","Verificar que el numero de items en el carrito es correto","SauceDemo Suite","Sun May 10 03:24:21 UTC 2026","passed","Sun May 10 03:24:21 UTC 2026","com.nopcommerce.tests.CartTest","Cart Tests","com.nopcommerce.tests.CartTest","testCartItemCount"
"Este test verifica que la página de inventario se cargue correctamente después del login","18","Verificar que la página de inventario se muestre correctamente","SauceDemo Suite","Sun May 10 03:24:04 UTC 2026","passed","Sun May 10 03:24:04 UTC 2026","com.nopcommerce.tests.InventoryTest","Inventory Tests","com.nopcommerce.tests.InventoryTest","testInventoryPageDisplayed"
